DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,test
29,4,629,630,754,745,YES
30,5,630,630,747,745,YES
1,4,822,800,922,856,YES
3,6,759,800,857,856,YES
4,7,800,800,855,856,NO
5,1,759,800,856,856,NO
6,2,825,800,923,856,YES
7,3,808,800,908,856,YES
8,4,801,800,902,856,YES
10,6,806,800,906,856,YES
11,7,759,800,859,856,YES
12,1,802,800,859,856,YES
13,2,759,800,859,856,YES
14,3,807,800,906,856,YES
15,4,822,800,924,856,YES
16,5,807,800,906,856,YES
17,6,758,800,851,856,NO
18,7,800,800,900,856,YES
19,1,807,800,910,856,YES
20,2,817,800,920,856,YES
21,3,814,800,910,856,YES
22,4,800,800,855,856,NO
23,5,804,800,858,856,YES
24,6,759,800,855,856,NO
25,7,800,800,858,856,YES
26,1,807,800,909,856,YES
27,2,816,800,917,856,YES
28,3,834,800,932,858,YES
29,4,807,800,908,858,YES
30,5,800,800,858,858,NO
31,6,758,800,856,858,NO
1,4,1310,1310,1434,1423,YES
2,5,1310,1310,1426,1423,YES
3,6,1310,1310,1424,1423,YES
5,1,1311,1310,1428,1423,YES
6,2,1310,1310,1429,1423,YES
7,3,1317,1310,1434,1423,YES
8,4,1309,1310,1423,1423,NO
9,5,1320,1310,1444,1423,YES
10,6,1332,1310,1450,1423,YES
11,7,1314,1310,1440,1423,YES
13,2,1318,1310,1434,1423,YES
14,3,1312,1310,1427,1423,YES
15,4,1309,1310,1422,1423,NO
16,5,1312,1310,1430,1423,YES
17,6,1309,1310,1424,1423,YES
18,7,1310,1310,1453,1423,YES
19,1,1310,1310,1427,1423,YES
20,2,1309,1310,1433,1423,YES
21,3,1323,1310,1440,1423,YES
22,4,1318,1310,1439,1423,YES
23,5,1328,1310,1449,1423,YES
24,6,1309,1310,1419,1423,NO
25,7,1309,1310,1428,1423,YES
26,1,1309,1310,1429,1423,YES
27,2,1310,1310,1432,1423,YES
28,3,1318,1318,1435,1430,YES
29,4,1322,1318,1436,1430,YES
30,5,1315,1318,1427,1430,NO
31,6,1318,1318,1437,1430,YES
1,4,1850,1850,2006,2003,YES
2,5,1852,1850,2010,2003,YES
4,7,1849,1850,2007,2003,YES
5,1,1849,1850,2012,2003,YES
6,2,1852,1850,2014,2003,YES
7,3,1850,1850,2009,2003,YES
8,4,1849,1850,2008,2003,YES
9,5,1905,1850,2020,2003,YES
11,7,1849,1850,2014,2003,YES
12,1,1849,1850,2007,2003,YES
13,2,1849,1850,2004,2003,YES
14,3,1856,1850,2017,2003,YES
15,4,1857,1850,2008,2003,YES
16,5,1907,1850,2031,2003,YES
18,7,1918,1850,2036,2003,YES
19,1,1855,1850,2018,2003,YES
20,2,1849,1850,2009,2003,YES
22,4,1907,1850,2029,2003,YES
23,5,1926,1850,2051,2003,YES
25,7,1850,1850,2009,2003,YES
26,1,1849,1850,2011,2003,YES
27,2,1851,1850,2014,2003,YES
28,3,1929,1930,2056,2040,YES
29,4,2018,1930,2124,2040,YES
30,5,1932,1930,2052,2040,YES
1,4,2030,2030,2133,2123,YES
2,5,2029,2030,2127,2123,YES
4,7,2028,2030,2125,2123,YES
5,1,2030,2030,2134,2123,YES
6,2,2030,2030,2134,2123,YES
7,3,2029,2030,2128,2123,YES
8,4,2029,2030,2131,2123,YES
9,5,2033,2030,2137,2123,YES
11,7,2031,2030,2128,2123,YES
12,1,2030,2030,2122,2123,NO
13,2,2029,2030,2131,2123,YES
14,3,2028,2030,2134,2123,YES
15,4,2029,2030,2130,2123,YES
16,5,2042,2030,2140,2123,YES
18,7,2046,2030,2152,2123,YES
19,1,2031,2030,2128,2123,YES
20,2,2030,2030,2127,2123,YES
22,4,2044,2030,2134,2123,YES
23,5,2106,2030,2200,2123,YES
25,7,2030,2030,2129,2123,YES
26,1,2029,2030,2126,2123,YES
27,2,2029,2030,2131,2123,YES
28,3,2112,2105,2219,2200,YES
29,4,2132,2105,2231,2200,YES
30,5,2105,2105,2203,2200,YES
1,4,2054,2050,2116,2107,YES
2,5,2057,2050,2121,2107,YES
4,7,2116,2050,2136,2107,YES
5,1,2044,2050,2106,2107,NO
6,2,2051,2050,2121,2107,YES
7,3,2120,2050,2154,2107,YES
8,4,2136,2050,2211,2107,YES
9,5,2158,2050,2221,2107,YES
11,7,2101,2050,2121,2107,YES
12,1,2052,2050,2129,2107,YES
13,2,2057,2050,2130,2107,YES
14,3,2102,2050,2131,2107,YES
15,4,2103,2050,2123,2107,YES
18,7,2054,2050,2129,2107,YES
19,1,2050,2050,2112,2107,YES
20,2,2106,2050,2127,2107,YES
21,3,2054,2050,2120,2107,YES
22,4,2144,2050,2226,2107,YES
23,5,2128,2050,2150,2107,YES
25,7,2053,2050,2109,2107,YES
26,1,2048,2050,2119,2107,YES
28,3,2146,2055,2223,2113,YES
29,4,2113,2055,2136,2113,YES
1,4,1932,1925,2048,2038,YES
2,5,1935,1925,2050,2038,YES
4,7,1957,1925,2110,2038,YES
5,1,1924,1925,2036,2038,NO
6,2,1925,1925,2046,2038,YES
7,3,1924,1925,2048,2038,YES
8,4,1937,1925,2059,2038,YES
9,5,2036,1925,2151,2038,YES
11,7,1937,1925,2055,2038,YES
12,1,1925,1925,2043,2038,YES
13,2,1927,1925,2050,2038,YES
14,3,1941,1925,2056,2038,YES
15,4,1946,1925,2057,2038,YES
18,7,1932,1925,2049,2038,YES
19,1,1925,1925,2043,2038,YES
20,2,1951,1925,2101,2038,YES
21,3,1924,1925,2052,2038,YES
22,4,1947,1925,2103,2038,YES
23,5,2006,1925,2122,2038,YES
25,7,1930,1925,2049,2038,YES
26,1,1927,1925,2043,2038,YES
27,2,1926,1925,2051,2038,YES
28,3,2013,1925,2127,2040,YES
29,4,1944,1925,2102,2040,YES
1,4,1747,1745,1904,1855,YES
2,5,1745,1745,1857,1855,YES
3,6,1745,1745,1855,1855,NO
5,1,1745,1745,1903,1855,YES
6,2,1744,1745,1900,1855,YES
7,3,1757,1745,1908,1855,YES
8,4,1746,1745,1901,1855,YES
9,5,1802,1745,1916,1855,YES
10,6,1744,1745,1900,1855,YES
11,7,2005,1745,2124,1855,YES
12,1,1804,1745,1912,1855,YES
13,2,1745,1745,1858,1855,YES
14,3,1744,1745,1904,1855,YES
15,4,1748,1745,1922,1855,YES
16,5,1817,1745,1938,1855,YES
17,6,1744,1745,1854,1855,NO
18,7,1804,1745,1919,1855,YES
20,2,1744,1745,1903,1855,YES
21,3,1745,1745,1857,1855,YES
22,4,1835,1745,1957,1855,YES
23,5,1807,1745,1924,1855,YES
24,6,1745,1745,1858,1855,YES
25,7,1747,1745,1859,1855,YES
26,1,1744,1745,1905,1855,YES
27,2,1744,1745,1902,1855,YES
28,3,1758,1758,1917,1908,YES
29,4,1813,1758,1923,1908,YES
30,5,1801,1758,1915,1908,YES
31,6,1851,1758,2007,1908,YES
28,3,2113,2110,2156,2147,YES
30,5,2120,2110,2154,2147,YES
1,4,2038,2027,2215,2137,YES
2,5,2040,2027,2158,2137,YES
4,7,2101,2027,2216,2137,YES
5,1,2039,2027,2155,2137,YES
6,2,2026,2027,2158,2137,YES
7,3,2044,2027,2207,2137,YES
9,5,2150,2027,2303,2137,YES
11,7,2126,2027,2255,2137,YES
12,1,2106,2027,2220,2137,YES
14,3,2030,2027,2153,2137,YES
15,4,2047,2027,2201,2137,YES
16,5,2145,2027,2300,2137,YES
18,7,2057,2027,2211,2137,YES
19,1,2026,2027,2136,2137,NO
20,2,2125,2027,2241,2137,YES
21,3,2026,2027,2137,2137,NO
23,5,2159,2027,2312,2137,YES
25,7,2107,2027,2229,2137,YES
26,1,2035,2027,2153,2137,YES
27,2,2030,2027,2151,2137,YES
28,3,,1930,,2040,YES
30,5,1950,1930,2103,2040,YES
1,4,638,630,742,727,YES
5,1,632,630,730,727,YES
6,2,632,630,727,727,NO
9,5,632,630,739,727,YES
12,1,631,630,731,727,YES
13,2,630,630,734,727,YES
14,3,633,630,734,727,YES
15,4,628,630,733,727,YES
16,5,632,630,730,727,YES
19,1,632,630,733,727,YES
20,2,633,630,727,727,NO
21,3,642,630,735,727,YES
22,4,630,630,727,727,NO
